word,annotation_level1_Dieuwertje,annotation_level2_Dieuwertje,annotation_level3_Dieuwertje,annotation_level1_Thirza,annotation_level2_Thirza,annotation_level3_Thirza
en,O,O,O,O,O,O
laat,O,O,O,O,O,O
ze,O,O,O,O,O,O
afdruipen,O,O,O,O,O,O
en,O,O,O,O,O,O
droogen,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
dan,O,O,O,O,O,O
naait,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
in,O,O,O,O,O,O
rookzakken,O,O,O,O,O,O
en,O,O,O,O,O,O
hangt,O,O,O,O,O,O
ze,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
Schoorsteen,O,O,O,O,O,O
",",O,O,O,O,O,O
om,O,O,O,O,O,O
met,O,O,O,O,O,O
eikenhout,Plant,Prod,Lit,Plant,Prod,Lit
of,O,O,O,O,O,O
spaanders,Plant,Prod,Lit,Plant,Prod,Lit
te,O,O,O,O,O,O
rooken,O,O,O,O,O,O
.,O,O,O,O,O,O
En,O,O,O,O,O,O
als,O,O,O,O,O,O
ze,O,O,O,O,O,O
drie,O,O,O,O,O,O
maanden,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
Schoorsteen,O,O,O,O,O,O
gehangen,O,O,O,O,O,O
hebben,O,O,O,O,O,O
",",O,O,O,O,O,O
neemt,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
daar,O,O,O,O,O,O
uit,O,O,O,O,O,O
",",O,O,O,O,O,O
want,O,O,O,O,O,O
anders,O,O,O,O,O,O
droogen,O,O,O,O,O,O
ze,O,O,O,O,O,O
te,O,O,O,O,O,O
sterk,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
de,O,O,O,O,O,O
kinnebaks,O,O,O,O,O,O
-,O,O,O,O,O,O
hammen,O,O,O,O,O,O
zyn,O,O,O,O,O,O
in,O,O,O,O,O,O
een,O,O,O,O,O,O
maand,O,O,O,O,O,O
genoeg,O,O,O,O,O,O
gerookt,O,O,O,O,O,O
.,O,O,O,O,O,O
Met,O,O,O,O,O,O
het,O,O,O,O,O,O
Spek,An,Prod,Lit,An,Prod,Lit
handeld,O,O,O,O,O,O
men,O,O,O,O,O,O
op,O,O,O,O,O,O
dezelve,O,O,O,O,O,O
wyze,O,O,O,O,O,O
",",O,O,O,O,O,O
maar,O,O,O,O,O,O
men,O,O,O,O,O,O
kan,O,O,O,O,O,O
het,O,O,O,O,O,O
tot,O,O,O,O,O,O
de,O,O,O,O,O,O
maand,O,O,O,O,O,O
Maart,O,O,O,O,O,O
of,O,O,O,O,O,O
April,O,O,O,O,O,O
laaten,O,O,O,O,O,O
hangen,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
schoorsteen,O,O,O,O,O,O
.,O,O,O,O,O,O
Het,O,O,O,O,O,O
gerookt,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
moet,O,O,O,O,O,O
ook,O,O,O,O,O,O
acht,O,O,O,O,O,O
dagen,O,O,O,O,O,O
in,O,O,O,O,O,O
het,O,O,O,O,O,O
zout,O,O,O,O,O,O
leggen,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
dan,O,O,O,O,O,O
in,O,O,O,O,O,O
zakken,O,O,O,O,O,O
genaait,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
rook,O,O,O,O,O,O
gehangen,O,O,O,O,O,O
worden,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
moet,O,O,O,O,O,O
drie,O,O,O,O,O,O
of,O,O,O,O,O,O
wel,O,O,O,O,O,O
vier,O,O,O,O,O,O
maanden,O,O,O,O,O,O
rooken,O,O,O,O,O,O
.,O,O,O,O,O,O
Als,O,O,O,O,O,O
men,O,O,O,O,O,O
zyn,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
rookt,O,O,O,O,O,O
dan,O,O,O,O,O,O
moet,O,O,O,O,O,O
men,O,O,O,O,O,O
zorg,O,O,O,O,O,O
draagen,O,O,O,O,O,O
dat,O,O,O,O,O,O
nog,O,O,O,O,O,O
het,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
nog,O,O,O,O,O,O
de,O,O,O,O,O,O
Hammen,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
nog,O,O,O,O,O,O
Spek,An,Prod,Lit,An,Prod,Lit
niet,O,O,O,O,O,O
te,O,O,O,O,O,O
laag,O,O,O,O,O,O
hangen,O,O,O,O,O,O
",",O,O,O,O,O,O
anders,O,O,O,O,O,O
worden,O,O,O,O,O,O
ze,O,O,O,O,O,O
zo,O,O,O,O,O,O
goed,O,O,O,O,O,O
niet,O,O,O,O,O,O
",",O,O,O,O,O,O
in,O,O,O,O,O,O
een,O,O,O,O,O,O
rookhuis,O,O,O,O,O,O
is,O,O,O,O,O,O
het,O,O,O,O,O,O
best,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
van,O,O,O,O,O,O
tyd,O,O,O,O,O,O
tot,O,O,O,O,O,O
tyd,O,O,O,O,O,O
neemt,O,O,O,O,O,O
men,O,O,O,O,O,O
een,O,O,O,O,O,O
hoop,O,O,O,O,O,O
eike,Plant,Prod,Lit,Plant,Prod,Lit
spaanders,Plant,Prod,Lit,Plant,Prod,Lit
die,O,O,O,O,O,O
men,O,O,O,O,O,O
op,O,O,O,O,O,O
den,O,O,O,O,O,O
haart,O,O,O,O,O,O
legt,O,O,O,O,O,O
en,O,O,O,O,O,O
in,O,O,O,O,O,O
brand,O,O,O,O,O,O
steekt,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
dan,O,O,O,O,O,O
moet,O,O,O,O,O,O
men,O,O,O,O,O,O
met,O,O,O,O,O,O
wat,O,O,O,O,O,O
water,O,O,O,O,O,O
de,O,O,O,O,O,O
vlam,O,O,O,O,O,O
uitblussen,O,O,O,O,O,O
om,O,O,O,O,O,O
te,O,O,O,O,O,O
smeulen,O,O,O,O,O,O
",",O,O,O,O,O,O
dat,O,O,O,O,O,O
rookt,O,O,O,O,O,O
heel,O,O,O,O,O,O
goed,O,O,O,O,O,O
.,O,O,O,O,O,O
Als,O,O,O,O,O,O
men,O,O,O,O,O,O
het,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
de,O,O,O,O,O,O
Hammen,An,Prod,Lit,An,Prod,Lit
en,O,O,O,O,O,O
Spek,An,Prod,Lit,An,Prod,Lit
uit,O,O,O,O,O,O
de,O,O,O,O,O,O
schoorsteen,O,O,O,O,O,O
neemt,O,O,O,O,O,O
",",O,O,O,O,O,O
zo,O,O,O,O,O,O
doet,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
in,O,O,O,O,O,O
schoone,O,O,O,O,O,O
graauwe,O,O,O,O,O,O
papieren,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
hangt,O,O,O,O,O,O
ze,O,O,O,O,O,O
op,O,O,O,O,O,O
een,O,O,O,O,O,O
drooge,O,O,O,O,O,O
plaats,O,O,O,O,O,O
weg,O,O,O,O,O,O
:,O,O,O,O,O,O
Maar,O,O,O,O,O,O
heeft,O,O,O,O,O,O
men,O,O,O,O,O,O
het,O,O,O,O,O,O
niet,O,O,O,O,O,O
in,O,O,O,O,O,O
Rook,O,O,O,O,O,O
-,O,O,O,O,O,O
zakken,O,O,O,O,O,O
genaait,O,O,O,O,O,O
",",O,O,O,O,O,O
zo,O,O,O,O,O,O
moet,O,O,O,O,O,O
men,O,O,O,O,O,O
het,O,O,O,O,O,O
",",O,O,O,O,O,O
uit,O,O,O,O,O,O
de,O,O,O,O,O,O
schoorsteen,O,O,O,O,O,O
neemende,O,O,O,O,O,O
",",O,O,O,O,O,O
in,O,O,O,O,O,O
heet,O,O,O,O,O,O
water,O,O,O,O,O,O
schoon,O,O,O,O,O,O
af,O,O,O,O,O,O
boenen,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
laaten,O,O,O,O,O,O
ze,O,O,O,O,O,O
dan,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
zon,O,O,O,O,O,O
droogen,O,O,O,O,O,O
anders,O,O,O,O,O,O
druipt,O,O,O,O,O,O
het,O,O,O,O,O,O
naderhand,O,O,O,O,O,O
des,O,O,O,O,O,O
zomers,O,O,O,O,O,O
.,O,O,O,O,O,O
11,O,O,O,O,O,O
.,O,O,O,O,O,O
Saucysen,O,O,O,An,Prod,Lit
of,O,O,O,O,O,O
Worst,O,O,O,An,Prod,Lit
van,O,O,O,O,O,O
Varkenvleesch,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
hoe,O,O,O,O,O,O
men,O,O,O,O,O,O
die,O,O,O,O,O,O
maaken,O,O,O,O,O,O
zal,O,O,O,O,O,O
.,O,O,O,O,O,O
Neemt,O,O,O,O,O,O
by,O,O,O,O,O,O
de,O,O,O,O,O,O
20,O,O,O,O,O,O
ponden,O,O,O,O,O,O
",",O,O,O,O,O,O
gehakt,O,O,O,O,O,O
redelyk,O,O,O,O,O,O
vet,O,O,O,An,Prod,Lit
",",O,O,O,O,O,O
varkens,An,Prod,Lit,An,Prod,Lit
vleesch,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
anderhalf,O,O,O,O,O,O
loot,O,O,O,O,O,O
of,O,O,O,O,O,O
twee,O,O,O,O,O,O
loot,O,O,O,O,O,O
nootemuscaten,Plant,Prod,Lit,Plant,Prod,Lit
;,O,O,O,O,O,O
twee,O,O,O,O,O,O
loot,O,O,O,O,O,O
nagelen,Plant,Prod,Lit,Plant,Prod,Lit
;,O,O,O,O,O,O
twee,O,O,O,O,O,O
loot,O,O,O,O,O,O
zwarte,Plant,Prod,Lit,O,O,O
peeper,Plant,Prod,Lit,O,O,O
",",O,O,O,O,O,O
dit,O,O,O,O,O,O
alles,O,O,O,O,O,O
ter,O,O,O,O,O,O
deegen,O,O,O,O,O,O
fyn,O,O,O,O,O,O
gestooten,O,O,O,O,O,O
zynde,O,O,O,O,O,O
",",O,O,O,O,O,O
zo,O,O,O,O,O,O
roert,O,O,O,O,O,O
men,O,O,O,O,O,O
het,O,O,O,O,O,O
onder,O,O,O,O,O,O
anderhalf,O,O,O,O,O,O
vierendeel,O,O,O,O,O,O
zout,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
kneed,O,O,O,O,O,O
het,O,O,O,O,O,O
door,O,O,O,O,O,O
het,O,O,O,O,O,O
gekapte,O,O,O,O,O,O
Varkensvleesch,An,Prod,Lit,An,Prod,Lit
heen,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
laat,O,O,O,O,O,O
het,O,O,O,O,O,O
zo,O,O,O,O,O,O
een,O,O,O,O,O,O
nacht,O,O,O,O,O,O
met,O,O,O,O,O,O
een,O,O,O,O,O,O
schoone,O,O,O,O,O,O
doek,O,O,O,O,O,O
bedekt,O,O,O,O,O,O
staan,O,O,O,O,O,O
doortrekken,O,O,O,O,O,O
.,O,O,O,O,O,O
Dan,O,O,O,O,O,O
neemt,O,O,O,O,O,O
men,O,O,O,O,O,O
Varkensdarmen,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
of,O,O,O,O,O,O
zo,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
dun,O,O,O,O,O,O
wil,O,O,O,O,O,O
hebben,O,O,O,O,O,O
",",O,O,O,O,O,O
schapen,An,Prod,Lit,An,Prod,Lit
darmen,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
die,O,O,O,O,O,O
ter,O,O,O,O,O,O
degen,O,O,O,O,O,O
schoon,O,O,O,O,O,O
gemaakt,O,O,O,O,O,O
zyn,O,O,O,O,O,O
:,O,O,O,O,O,O
dog,O,O,O,O,O,O
als,O,O,O,O,O,O
de,O,O,O,O,O,O
wyven,O,O,O,O,O,O
ze,O,O,O,O,O,O
schoon,O,O,O,O,O,O
gemaakt,O,O,O,O,O,O
hebben,O,O,O,O,O,O
",",O,O,O,O,O,O
zo,O,O,O,O,O,O
laat,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
nog,O,O,O,O,O,O
wat,O,O,O,O,O,O
in,O,O,O,O,O,O
',O,O,O,O,O,O
t,O,O,O,O,O,O
laauw,O,O,O,O,O,O
water,O,O,O,O,O,O
staan,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
blaast,O,O,O,O,O,O
ze,O,O,O,O,O,O
eerst,O,O,O,O,O,O
op,O,O,O,O,O,O
en,O,O,O,O,O,O
keert,O,O,O,O,O,O
ze,O,O,O,O,O,O
om,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
schrapt,O,O,O,O,O,O
ze,O,O,O,O,O,O
af,O,O,O,O,O,O
.,O,O,O,O,O,O
Dan,O,O,O,O,O,O
stopt,O,O,O,O,O,O
men,O,O,O,O,O,O
de,O,O,O,O,O,O
Saucysen,O,O,O,An,Prod,Lit
",",O,O,O,O,O,O
en,O,O,O,O,O,O
als,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
gestopt,O,O,O,O,O,O
heeft,O,O,O,O,O,O
zo,O,O,O,O,O,O
hangt,O,O,O,O,O,O
men,O,O,O,O,O,O
die,O,O,O,O,O,O
te,O,O,O,O,O,O
droogen,O,O,O,O,O,O
op,O,O,O,O,O,O
een,O,O,O,O,O,O
stok,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
dan,O,O,O,O,O,O
afgedroogdt,O,O,O,O,O,O
met,O,O,O,O,O,O
een,O,O,O,O,O,O
schoone,O,O,O,O,O,O
doek,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
rondte,O,O,O,O,O,O
in,O,O,O,O,O,O
een,O,O,O,O,O,O
keulse,O,O,O,O,O,O
pot,O,O,O,O,O,O
gelegt,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
neemt,O,O,O,O,O,O
gedroogt,O,O,O,O,O,O
zout,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
legt,O,O,O,O,O,O
',O,O,O,O,O,O
er,O,O,O,O,O,O
wat,O,O,O,O,O,O
van,O,O,O,O,O,O
op,O,O,O,O,O,O
de,O,O,O,O,O,O
bodem,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
wat,O,O,O,O,O,O
gedroogt,O,O,O,O,O,O
zout,O,O,O,O,O,O
tusschen,O,O,O,O,O,O
beiden,O,O,O,O,O,O
in,O,O,O,O,O,O
gestrooit,O,O,O,O,O,O
en,O,O,O,O,O,O
boven,O,O,O,O,O,O
op,O,O,O,O,O,O
",",O,O,O,O,O,O
niet,O,O,O,O,O,O
te,O,O,O,O,O,O
veel,O,O,O,O,O,O
",",O,O,O,O,O,O
dat,O,O,O,O,O,O
het,O,O,O,O,O,O
even,O,O,O,O,O,O
bedekt,O,O,O,O,O,O
is,O,O,O,O,O,O
",",O,O,O,O,O,O
maar,O,O,O,O,O,O
hoe,O,O,O,O,O,O
vaster,O,O,O,O,O,O
het,O,O,O,O,O,O
gepakt,O,O,O,O,O,O
is,O,O,O,O,O,O
hoe,O,O,O,O,O,O
beeter,O,O,O,O,O,O
.,O,O,O,O,O,O
12,O,O,O,O,O,O
.,O,O,O,O,O,O
Saucysen,O,O,O,An,Prod,Lit
van,O,O,O,O,O,O
Patryzen,An,Org,Lit,An,Org,Lit
en,O,O,O,O,O,O
andere,O,O,O,O,O,O
gevogelte,An,Coll,Lit,An,Org,Lit
om,O,O,O,O,O,O
versch,O,O,O,O,O,O
te,O,O,O,O,O,O
eeten,O,O,O,O,O,O
.,O,O,O,O,O,O
In,O,O,O,O,O,O
plaats,O,O,O,O,O,O
van,O,O,O,O,O,O
Varkens,O,O,O,O,O,O
-,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
neemt,O,O,O,O,O,O
men,O,O,O,O,O,O
patryzen,An,Org,Lit,An,Org,Lit
of,O,O,O,O,O,O
hoenders,An,Org,Lit,An,Org,Lit
",",O,O,O,O,O,O
die,O,O,O,O,O,O
wel,O,O,O,O,O,O
van,O,O,O,O,O,O
het,O,O,O,O,O,O
vel,An,Part,Lit,An,Part,Lit
en,O,O,O,O,O,O
spieren,An,Part,Lit,An,Part,Lit
gezuivert,O,O,O,O,O,O
zyn,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
neemt,O,O,O,O,O,O
viermaal,O,O,O,O,O,O
zo,O,O,O,O,O,O
veel,O,O,O,O,O,O
varkens,An,Prod,Lit,An,Prod,Lit
reusel,O,O,O,O,O,O
als,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
kruidt,O,O,O,O,O,O
het,O,O,O,O,O,O
naar,O,O,O,O,O,O
zyn,O,O,O,O,O,O
goedvinden,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
kneed,O,O,O,O,O,O
',O,O,O,O,O,O
er,O,O,O,O,O,O
wat,O,O,O,O,O,O
melk,An,Prod,Lit,An,Prod,Lit
door,O,O,O,O,O,O
heen,O,O,O,O,O,O
en,O,O,O,O,O,O
stopt,O,O,O,O,O,O
ze,O,O,O,O,O,O
in,O,O,O,O,O,O
schaape,An,Prod,Lit,An,Prod,Lit
darmen,An,Prod,Lit,An,Prod,Lit
:,O,O,O,O,O,O
dan,O,O,O,O,O,O
legt,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
wat,O,O,O,O,O,O
in,O,O,O,O,O,O
Melk,An,Prod,Lit,An,Prod,Lit
om,O,O,O,O,O,O
uittetrekken,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
dan,O,O,O,O,O,O
droogt,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
af,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
braad,O,O,O,O,O,O
ze,O,O,O,O,O,O
op,O,O,O,O,O,O
een,O,O,O,O,O,O
vet,O,O,O,O,O,O
papier,O,O,O,O,O,O
",",O,O,O,O,O,O
is,O,O,O,O,O,O
een,O,O,O,O,O,O
smakelyk,O,O,O,O,O,O
eeten,O,O,O,O,O,O
.,O,O,O,O,O,O
13,O,O,O,O,O,O
.,O,O,O,O,O,O
Saucysen,O,O,O,An,Prod,Lit
zonder,O,O,O,O,O,O
darmen,An,Prod,Lit,An,Part,Lit
om,O,O,O,O,O,O
versch,O,O,O,O,O,O
te,O,O,O,O,O,O
eeten,O,O,O,O,O,O
.,O,O,O,O,O,O
Men,O,O,O,O,O,O
maakt,O,O,O,O,O,O
ook,O,O,O,O,O,O
op,O,O,O,O,O,O
dezelve,O,O,O,O,O,O
wyze,O,O,O,O,O,O
van,O,O,O,O,O,O
varkensvleesch,O,O,O,An,Prod,Lit
Saucysen,O,O,O,An,Prod,Lit
zonder,O,O,O,O,O,O
darmen,An,Prod,Lit,An,Part,Lit
",",O,O,O,O,O,O
maar,O,O,O,O,O,O
dan,O,O,O,O,O,O
kneed,O,O,O,O,O,O
men,O,O,O,O,O,O
',O,O,O,O,O,O
er,O,O,O,O,O,O
braaf,O,O,O,O,O,O
kruim,O,O,O,O,O,O
van,O,O,O,O,O,O
witte,O,O,O,O,O,O
brood,O,O,O,O,O,O
en,O,O,O,O,O,O
dooren,An,Prod,Lit,O,O,O
van,O,O,O,O,O,O
Eijeren,An,Prod,Lit,An,Prod,Lit
door,O,O,O,O,O,O
",",O,O,O,O,O,O
tot,O,O,O,O,O,O
een,O,O,O,O,O,O
deeg,O,O,O,O,O,O
en,O,O,O,O,O,O
als,O,O,O,O,O,O
saucysen,O,O,O,An,Prod,Lit
gerolt,O,O,O,O,O,O
en,O,O,O,O,O,O
op,O,O,O,O,O,O
dezelve,O,O,O,O,O,O
wyze,O,O,O,O,O,O
gebraaden,O,O,O,O,O,O
is,O,O,O,O,O,O
zeer,O,O,O,O,O,O
goed,O,O,O,O,O,O
en,O,O,O,O,O,O
smaakelyk,O,O,O,O,O,O
.,O,O,O,O,O,O
14,O,O,O,O,O,O
.,O,O,O,O,O,O
Om,O,O,O,O,O,O
Varkens,O,O,O,An,Prod,Lit
worst,O,O,O,An,Prod,Lit
zonder,O,O,O,O,O,O
zout,O,O,O,O,O,O
",",O,O,O,O,O,O
die,O,O,O,O,O,O
excellent,O,O,O,O,O,O
is,O,O,O,O,O,O
en,O,O,O,O,O,O
zeer,O,O,O,O,O,O
lang,O,O,O,O,O,O
kan,O,O,O,O,O,O
duuren,O,O,O,O,O,O
",",O,O,O,O,O,O
zo,O,O,O,O,O,O
dat,O,O,O,O,O,O
men,O,O,O,O,O,O
die,O,O,O,O,O,O
zelfs,O,O,O,O,O,O
",",O,O,O,O,O,O
zonder,O,O,O,O,O,O
bederf,O,O,O,O,O,O
na,O,O,O,O,O,O
Oost,O,O,O,O,O,O
indien,O,O,O,O,O,O
kan,O,O,O,O,O,O
zenden,O,O,O,O,O,O
",",O,O,O,O,O,O
zonder,O,O,O,O,O,O
dat,O,O,O,O,O,O
ze,O,O,O,O,O,O
te,O,O,O,O,O,O
zout,O,O,O,O,O,O
of,O,O,O,O,O,O
wreed,O,O,O,O,O,O
van,O,O,O,O,O,O
smaak,O,O,O,O,O,O
word,O,O,O,O,O,O
",",O,O,O,O,O,O
te,O,O,O,O,O,O
maaken,O,O,O,O,O,O
.,O,O,O,O,O,O
Neemt,O,O,O,O,O,O
by,O,O,O,O,O,O
24,O,O,O,O,O,O
ponden,O,O,O,O,O,O
Varkensvleesch,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
6,O,O,O,O,O,O
loot,O,O,O,O,O,O
bruine,Plant,Prod,Lit,O,O,O
peper,Plant,Prod,Lit,Plant,Prod,Lit
;,O,O,O,O,O,O
6,O,O,O,O,O,O
loot,O,O,O,O,O,O
kruitnagelen,Plant,Prod,Lit,Plant,Prod,Lit
;,O,O,O,O,O,O
en,O,O,O,O,O,O
6,O,O,O,O,O,O
loot,O,O,O,O,O,O
Noote,Plant,Prod,Lit,Plant,Prod,Lit
muscaaten,Plant,Prod,Lit,Plant,Prod,Lit
;,O,O,O,O,O,O
alles,O,O,O,O,O,O
wel,O,O,O,O,O,O
fyn,O,O,O,O,O,O
gestooten,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
dan,O,O,O,O,O,O
onder,O,O,O,O,O,O
malkanderen,O,O,O,O,O,O
gemengt,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
onder,O,O,O,O,O,O
het,O,O,O,O,O,O
gehakte,O,O,O,O,O,O
Varkensvleesch,An,Prod,Lit,An,Prod,Lit
gekneed,O,O,O,O,O,O
:,O,O,O,O,O,O
Stopt,O,O,O,O,O,O
het,O,O,O,O,O,O
dan,O,O,O,O,O,O
in,O,O,O,O,O,O
Varkensdarmen,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
en,O,O,O,O,O,O
hangt,O,O,O,O,O,O
ze,O,O,O,O,O,O
een,O,O,O,O,O,O
weinig,O,O,O,O,O,O
te,O,O,O,O,O,O
droogen,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
dan,O,O,O,O,O,O
met,O,O,O,O,O,O
een,O,O,O,O,O,O
schoone,O,O,O,O,O,O
drooge,O,O,O,O,O,O
doek,O,O,O,O,O,O
ter,O,O,O,O,O,O
deegen,O,O,O,O,O,O
afgedroogt,O,O,O,O,O,O
",",O,O,O,O,O,O
dan,O,O,O,O,O,O
legt,O,O,O,O,O,O
men,O,O,O,O,O,O
die,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
rondte,O,O,O,O,O,O
als,O,O,O,O,O,O
een,O,O,O,O,O,O
slang,An,Org,Sym,An,Org,Sym
",",O,O,O,O,O,O
dat,O,O,O,O,O,O
ze,O,O,O,O,O,O
wel,O,O,O,O,O,O
sluiten,O,O,O,O,O,O
in,O,O,O,O,O,O
een,O,O,O,O,O,O
keulse,O,O,O,O,O,O
aarde,O,O,O,O,O,O
pot,O,O,O,O,O,O
",",O,O,O,O,O,O
met,O,O,O,O,O,O
wat,O,O,O,O,O,O
zout,O,O,O,O,O,O
op,O,O,O,O,O,O
de,O,O,O,O,O,O
bodem,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
de,O,O,O,O,O,O
holligheden,O,O,O,O,O,O
tusschen,O,O,O,O,O,O
beiden,O,O,O,O,O,O
vult,O,O,O,O,O,O
men,O,O,O,O,O,O
styf,O,O,O,O,O,O
met,O,O,O,O,O,O
zout,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
op,O,O,O,O,O,O
ieder,O,O,O,O,O,O
laag,O,O,O,O,O,O
wat,O,O,O,O,O,O
zout,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
van,O,O,O,O,O,O
boven,O,O,O,O,O,O
met,O,O,O,O,O,O
zout,O,O,O,O,O,O
bedekt,O,O,O,O,O,O
.,O,O,O,O,O,O
Die,O,O,O,O,O,O
worst,O,O,O,An,Prod,Lit
is,O,O,O,O,O,O
excellent,O,O,O,O,O,O
als,O,O,O,O,O,O
ze,O,O,O,O,O,O
een,O,O,O,O,O,O
maand,O,O,O,O,O,O
of,O,O,O,O,O,O
twee,O,O,O,O,O,O
gemaakt,O,O,O,O,O,O
is,O,O,O,O,O,O
geweest,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
men,O,O,O,O,O,O
kan,O,O,O,O,O,O
ze,O,O,O,O,O,O
wel,O,O,O,O,O,O
twee,O,O,O,O,O,O
jaaren,O,O,O,O,O,O
bewaaren,O,O,O,O,O,O
zonder,O,O,O,O,O,O
te,O,O,O,O,O,O
bederven,O,O,O,O,O,O
of,O,O,O,O,O,O
dat,O,O,O,O,O,O
ze,O,O,O,O,O,O
te,O,O,O,O,O,O
zout,O,O,O,O,O,O
zal,O,O,O,O,O,O
werden,O,O,O,O,O,O
.,O,O,O,O,O,O
Wil,O,O,O,O,O,O
men,O,O,O,O,O,O
die,O,O,O,O,O,O
naa,O,O,O,O,O,O
Oost,O,O,O,O,O,O
-,O,O,O,O,O,O
Indien,O,O,O,O,O,O
of,O,O,O,O,O,O
elders,O,O,O,O,O,O
verzenden,O,O,O,O,O,O
",",O,O,O,O,O,O
zo,O,O,O,O,O,O
legt,O,O,O,O,O,O
men,O,O,O,O,O,O
ze,O,O,O,O,O,O
in,O,O,O,O,O,O
een,O,O,O,O,O,O
goed,O,O,O,O,O,O
wel,O,O,O,O,O,O
ter,O,O,O,O,O,O
degen,O,O,O,O,O,O
digt,O,O,O,O,O,O
gekuipt,O,O,O,O,O,O
vaatje,O,O,O,O,O,O
",",O,O,O,O,O,O
dat,O,O,O,O,O,O
men,O,O,O,O,O,O
eerst,O,O,O,O,O,O
uitbroeid,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
